"","id","height","age","tree","closure"
"P02_07_F","P02_07_F",47.5,"A2","PC12",13.0550340849502
"P02_07_G","P02_07_G",47.5,"A3","PC12",13.0550340849502
"P02_07_H","P02_07_H",47.5,"A4","PC12",13.0550340849502
"P02_08_A","P02_08_A",22.5,"A1","CC",18.5885077951002
"P02_08_B","P02_08_B",22.5,"A2","CC",18.5885077951002
"P02_08_C","P02_08_C",22.5,"A3","CC",18.5885077951002
"P02_08_D","P02_08_D",22.5,"A4","CC",18.5885077951002
"P02_08_E","P02_08_E",25,"A1","CC",16.805495545657
"P02_08_F","P02_08_F",25,"A2","CC",16.805495545657
"P02_08_G","P02_08_G",25,"A3","CC",16.805495545657
"P02_08_H","P02_08_H",25,"A4","CC",16.805495545657
"P02_09_A","P02_09_A",27.5,"A1","CC",15.2080456570156
"P02_09_B","P02_09_B",27.5,"A2","CC",15.2080456570156
"P02_09_C","P02_09_C",27.5,"A3","CC",15.2080456570156
"P02_09_D","P02_09_D",27.5,"A4","CC",15.2080456570156
"P02_09_E","P02_09_E",30,"A1","CC",13.4492371937639
"P02_09_F","P02_09_F",30,"A2","CC",13.4492371937639
"P02_09_G","P02_09_G",30,"A3","CC",13.4492371937639
"P02_09_H","P02_09_H",30,"A4","CC",13.4492371937639
"P02_10_A","P02_10_A",32.5,"A1","CC",12.0696213808463
"P02_10_B","P02_10_B",32.5,"A2","CC",12.0696213808463
"P02_10_C","P02_10_C",32.5,"A3","CC",12.0696213808463
"P02_10_D","P02_10_D",32.5,"A4","CC",12.0696213808463
"P02_10_E","P02_10_E",15,"A1","LATREEN",36.8942589118199
"P02_10_F","P02_10_F",15,"A2","LATREEN",36.8942589118199
"P02_10_G","P02_10_G",15,"A3","LATREEN",36.8942589118199
"P02_10_H","P02_10_H",15,"A4","LATREEN",36.8942589118199
"P02_11_A","P02_11_A",19.5,"A1","LATREEN",34.8274971857411
"P02_11_B","P02_11_B",19.5,"A2","LATREEN",34.8274971857411
"P02_11_C","P02_11_C",19.5,"A3","LATREEN",34.8274971857411
"P02_11_D","P02_11_D",19.5,"A4","LATREEN",34.8274971857411
"P02_11_E","P02_11_E",25,"A1","LATREEN",32.1885328330206
"P02_11_F","P02_11_F",25,"A2","LATREEN",32.1885328330206
"P02_11_G","P02_11_G",25,"A3","LATREEN",32.1885328330206
"P02_11_H","P02_11_H",25,"A4","LATREEN",32.1885328330206
"P02_12_A","P02_12_A",27.5,"A1","LATREEN",31.129530956848
"P02_12_B","P02_12_B",27.5,"A2","LATREEN",31.129530956848
"P02_12_C","P02_12_C",27.5,"A3","LATREEN",31.129530956848
"P02_12_D","P02_12_D",27.5,"A4","LATREEN",31.129530956848
"P02_12_E","P02_12_E",30,"A1","LATREEN",29.4983264540338
"P02_12_F","P02_12_F",30,"A2","LATREEN",29.4983264540338
"P02_12_G","P02_12_G",30,"A3","LATREEN",29.4983264540338
"P02_12_H","P02_12_H",30,"A4","LATREEN",29.4983264540338
"P03_01_A","P03_01_A",32.5,"A1","LATREEN",28.3112195121951
"P03_01_B","P03_01_B",32.5,"A2","LATREEN",28.3112195121951
"P03_01_C","P03_01_C",32.5,"A3","LATREEN",28.3112195121951
"P03_01_D","P03_01_D",32.5,"A4","LATREEN",28.3112195121951
"P03_01_E","P03_01_E",35,"A1","LATREEN",26.8337410881801
"P03_01_F","P03_01_F",35,"A2","LATREEN",26.8337410881801
"P03_01_G","P03_01_G",35,"A3","LATREEN",26.8337410881801
"P03_01_H","P03_01_H",35,"A4","LATREEN",26.8337410881801
"P03_02_C","P03_02_C",37.5,"A3","LATREEN",25.5441500938086
"P03_02_D","P03_02_D",37.5,"A4","LATREEN",25.5441500938086
"P03_02_E","P03_02_E",40,"A1","LATREEN",24.6815759849906
"P03_02_F","P03_02_F",40,"A2","LATREEN",24.6815759849906
"P03_02_G","P03_02_G",40,"A3","LATREEN",24.6815759849906
"P03_02_H","P03_02_H",40,"A4","LATREEN",24.6815759849906
"P03_03_A","P03_03_A",42.5,"A1","LATREEN",24.485148217636
"P03_03_B","P03_03_B",42.5,"A2","LATREEN",24.485148217636
"P03_03_C","P03_03_C",42.5,"A3","LATREEN",24.485148217636
"P03_03_D","P03_03_D",42.5,"A4","LATREEN",24.485148217636
"P03_03_E","P03_03_E",45,"A1","LATREEN",23.2297185741088
"P03_03_F","P03_03_F",45,"A2","LATREEN",23.2297185741088
"P03_03_G","P03_03_G",45,"A3","LATREEN",23.2297185741088
"P03_03_H","P03_03_H",45,"A4","LATREEN",23.2297185741088
"P03_04_A","P03_04_A",47.5,"A1","LATREEN",21.0775534709193
"P03_04_B","P03_04_B",47.5,"A2","LATREEN",21.0775534709193
"P03_04_C","P03_04_C",47.5,"A3","LATREEN",21.0775534709193
"P03_04_D","P03_04_D",47.5,"A4","LATREEN",21.0775534709193
"P03_04_E","P03_04_E",50,"A1","LATREEN",20.2662213883677
"P03_04_F","P03_04_F",50,"A2","LATREEN",20.2662213883677
"P03_04_G","P03_04_G",50,"A3","LATREEN",20.2662213883677
"P03_04_H","P03_04_H",50,"A4","LATREEN",20.2662213883677
"P03_06_A","P03_06_A",20,"A1","DISCOVERY",29.0272528089888
"P03_06_B","P03_06_B",20,"A2","DISCOVERY",29.0272528089888
"P03_06_C","P03_06_C",20,"A3","DISCOVERY",29.0272528089888
"P03_06_D","P03_06_D",20,"A4","DISCOVERY",29.0272528089888
"P03_06_E","P03_06_E",25,"A1","DISCOVERY",24.6092528089888
"P03_06_F","P03_06_F",25,"A2","DISCOVERY",24.6092528089888
"P03_06_G","P03_06_G",25,"A3","DISCOVERY",24.6092528089888
"P03_06_H","P03_06_H",25,"A4","DISCOVERY",24.6092528089888
"P03_07_A","P03_07_A",30,"A1","DISCOVERY",20.1540224719101
"P03_07_B","P03_07_B",30,"A2","DISCOVERY",20.1540224719101
"P03_07_C","P03_07_C",30,"A3","DISCOVERY",20.1540224719101
"P03_07_D","P03_07_D",30,"A4","DISCOVERY",20.1540224719101
"P03_07_E","P03_07_E",35,"A1","DISCOVERY",14.2219887640449
"P03_07_F","P03_07_F",35,"A2","DISCOVERY",14.2219887640449
"P03_07_G","P03_07_G",35,"A3","DISCOVERY",14.2219887640449
"P03_07_H","P03_07_H",35,"A4","DISCOVERY",14.2219887640449
"P03_08_A","P03_08_A",40,"A1","DISCOVERY",10.1638820224719
"P03_08_B","P03_08_B",40,"A2","DISCOVERY",10.1638820224719
"P03_08_C","P03_08_C",40,"A3","DISCOVERY",10.1638820224719
"P03_08_D","P03_08_D",40,"A4","DISCOVERY",10.1638820224719
"P03_08_E","P03_08_E",45,"A1","DISCOVERY",6.87520224719101
"P03_08_F","P03_08_F",45,"A2","DISCOVERY",6.87520224719101
"P03_08_G","P03_08_G",45,"A3","DISCOVERY",6.87520224719101
"P03_08_H","P03_08_H",45,"A4","DISCOVERY",6.87520224719101
"P03_09_A","P03_09_A",50,"A1","DISCOVERY",4.95163483146067
"P03_09_B","P03_09_B",50,"A2","DISCOVERY",4.95163483146067
"P03_09_C","P03_09_C",50,"A3","DISCOVERY",4.95163483146067
"P03_09_D","P03_09_D",50,"A4","DISCOVERY",4.95163483146067
"P03_09_E","P03_09_E",55,"A1","DISCOVERY",2.79227528089888
"P03_09_F","P03_09_F",55,"A2","DISCOVERY",2.79227528089888
"P03_09_G","P03_09_G",55,"A3","DISCOVERY",2.79227528089888
"P03_09_H","P03_09_H",55,"A4","DISCOVERY",2.79227528089888
"P03_10_A","P03_10_A",10,"A1","DT NEIGHBOR",18.3956563876652
"P03_10_B","P03_10_B",10,"A2","DT NEIGHBOR",18.3956563876652
"P03_10_C","P03_10_C",10,"A3","DT NEIGHBOR",18.3956563876652
"P03_10_D","P03_10_D",10,"A4","DT NEIGHBOR",18.3956563876652
"P03_10_E","P03_10_E",15,"A1","DT NEIGHBOR",17.0973744493392
"P03_10_F","P03_10_F",15,"A2","DT NEIGHBOR",17.0973744493392
"P03_10_G","P03_10_G",15,"A3","DT NEIGHBOR",17.0973744493392
"P03_10_H","P03_10_H",15,"A4","DT NEIGHBOR",17.0973744493392
"P03_11_C","P03_11_C",20,"A3","DT NEIGHBOR",13.5420792951542
"P03_11_D","P03_11_D",20,"A4","DT NEIGHBOR",13.5420792951542
"P03_11_E","P03_11_E",25,"A1","DT NEIGHBOR",7.76971806167401
"P03_11_F","P03_11_F",25,"A2","DT NEIGHBOR",7.76971806167401
"P03_11_G","P03_11_G",25,"A3","DT NEIGHBOR",7.76971806167401
"P03_11_H","P03_11_H",25,"A4","DT NEIGHBOR",7.76971806167401
"P03_12_A","P03_12_A",30,"A1","DT NEIGHBOR",2.41680176211454
"P03_12_B","P03_12_B",30,"A2","DT NEIGHBOR",2.41680176211454
"P03_12_C","P03_12_C",30,"A3","DT NEIGHBOR",2.41680176211454
"P03_12_D","P03_12_D",30,"A4","DT NEIGHBOR",2.41680176211454
"P05_09_A","P05_09_A",21.7,"A2","PC17",24.2384978908987
"P05_09_B","P05_09_B",37.5,"A1","LATREEN",25.5441500938086
"P05_09_C","P05_09_C",37.5,"A2","LATREEN",25.5441500938086
"P05_09_D","P05_09_D",20,"A1","DT NEIGHBOR",13.5420792951542
"P05_09_E","P05_09_E",20,"A2","DT NEIGHBOR",13.5420792951542
